Gender,Age,Connect_Date,L_O_S,Dropped_Calls,tariff,Handset,Peak_calls_Sum,Peak_mins_Sum,OffPeak_calls_Sum,OffPeak_mins_Sum,Weekend_calls_Sum,Weekend_mins_Sum,International_mins_Sum,Nat_call_cost_Sum,AvePeak,AveOffPeak,AveWeekend,National_calls,National mins,AveNational,All_calls_mins,Dropped_calls_ratio,Usage_Band,Mins_charge,call_cost_per_min,actual call cost,Total_call_cost,Total_Cost,Tariff_OK,average cost min,Peak ratio,OffPeak ratio,Weekend ratio,Nat-InterNat Ratio,high Dropped calls,No Usage,target,id
F,50.0,20/05/98,29.2,2.0,Play 100,BS210,62.0,153.0,185.0,438.600001,4.0,29.0,126.002615,2.045727,2.467742,2.370811,7.25,251.0,620.600001,2.47251,746.602616,0.003984063745,Med,20.600001,9.930712,2.045727,52.446773,112.386773,OK,0.150531,0.246536,0.706735,0.046729,0.203034,F,F,0,K262360
M,25.0,16/12/96,46.533333,1.0,CAT 100,ASAD90,146.0,718.8,98.0,164.7,4.0,37.2,251.580636,41.072379,4.923288,1.680612,9.3,248.0,920.7,3.7125,1172.280636,0.002016129032,Med,320.7,12.807103,41.07238,116.546571,221.546571,OK,0.188988,0.78071,0.178886,0.040404,0.273249,F,F,1,K170160
F,46.0,27/08/97,38.066667,1.0,CAT 50,WC95,160.0,322.8,7.0,123.9,0.0,0.0,91.584877,21.575073,2.0175,17.7,0.0,167.0,446.7,2.67485,538.284877,0.002994011976,MedLow,146.7,12.226326,17.936021,45.411484,128.811484,OK,0.2393,0.722633,0.277367,0.0,0.205025,F,F,0,K331610
F,59.0,13/07/98,27.4,1.0,CAT 50,BS110,84.0,317.400001,57.0,161.699999,0.0,0.0,23.998036,20.950771,3.778571,2.836842,0.0,141.0,479.1,3.397872,503.098036,0.003546099291,MedLow,179.1,11.624922,20.820235,28.019646,111.419646,OK,0.221467,0.662492,0.337508,0.0,0.05009,F,F,0,K332460
F,25.0,08/01/99,21.433333,1.0,Play 300,WC95,14.0,309.6,326.0,637.8,6.0,14.4,87.051515,0.0,22.114286,1.956442,2.4,346.0,961.8,2.779769,1048.851515,0.001445086705,Med,-838.2,9.403618,0.0,34.820606,112.760606,OK,0.107509,0.321896,0.663132,0.014972,0.090509,F,F,0,K394220
M,27.0,02/08/97,38.9,8.0,CAT 100,S50,170.0,414.600001,2.0,342.3,21.0,38.399999,33.928464,19.946237,2.438824,171.15,1.828571,193.0,795.3,4.120725,829.228464,0.0207253886,Med,195.3,10.213127,19.946237,30.124776,135.124776,OK,0.162952,0.521313,0.430404,0.048284,0.042661,F,F,0,K286620
M,39.0,19/02/98,32.2,10.0,CAT 100,BS110,236.0,528.0,32.0,67.5,15.0,62.4,24.846683,7.541785,2.237288,2.109375,4.16,283.0,657.9,2.324735,682.746683,0.01766784452,Med,57.9,13.025536,7.541785,14.99579,119.99579,OK,0.175754,0.802554,0.102599,0.094847,0.037767,F,F,0,K338590
F,28.0,14/11/96,47.6,14.0,CAT 50,S50,221.0,332.4,14.0,128.7,7.0,14.4,76.898743,21.043392,1.504072,9.192857,2.057143,242.0,475.5,1.964876,552.398743,0.02892561983,MedLow,175.5,11.990536,21.043391,44.113014,127.513014,OK,0.230835,0.699054,0.270662,0.030284,0.161722,T,F,1,K411040
M,23.0,07/08/96,50.9,3.0,CAT 200,S50,658.0,1516.200001,17.0,92.4,54.0,88.200001,400.284283,47.036139,2.304255,5.435294,1.633333,729.0,1696.800002,2.327572,2097.084285,0.002057613169,MedHigh,496.800002,9.467822,47.036139,167.121424,317.121424,OK,0.15122,0.893564,0.054455,0.05198,0.235905,F,F,1,K178510
F,56.0,26/10/99,11.733333,8.0,CAT 200,S80,300.0,742.8,100.0,544.8,9.0,112.2,262.890611,15.291166,2.476,5.448,12.466667,409.0,1399.8,3.422494,1662.690611,0.0097799511,MedHigh,199.8,7.653236,15.291166,94.158349,244.158349,OK,0.146845,0.530647,0.389198,0.080154,0.187806,F,F,0,K123950
F,44.0,16/03/96,55.7,0.0,Play 100,S50,54.0,126.0,14.0,120.3,26.0,81.0,80.142303,0.0,2.333333,8.592857,3.115385,94.0,327.3,3.481915,407.442303,0.0,MedLow,-272.7,12.699358,0.0,32.056921,91.996921,OK,0.225791,0.384968,0.367553,0.247479,0.244859,F,F,0,K220170
F,25.0,06/12/97,34.7,1.0,Play 300,ASAD90,112.0,717.0,461.0,789.6,24.0,57.0,432.748383,0.0,6.401786,1.712798,2.375,597.0,1563.6,2.619095,1996.348383,0.000837520938,MedHigh,-236.4,12.546815,0.0,173.099353,251.039353,OK,0.125749,0.458557,0.504988,0.036454,0.276764,F,F,0,K210220
F,35.0,26/08/96,50.266667,1.0,Play 300,S80,132.0,514.8,385.0,881.4,21.0,32.4,444.504442,0.0,3.9,2.289351,1.542857,538.0,1428.6,2.65539,1873.104442,0.0009293680297,MedHigh,-371.4,10.288114,0.0,177.801777,255.741777,OK,0.136534,0.360353,0.616968,0.02268,0.311147,F,F,0,K163230
M,33.0,20/09/96,49.433333,2.0,Play 100,S80,112.0,208.8,145.0,498.900001,13.0,37.8,166.722896,15.425342,1.864286,3.44069,2.907692,270.0,745.500001,2.761111,912.222897,0.003703703704,Med,145.500001,10.60161,15.425342,82.114501,142.054501,OK,0.155723,0.28008,0.669215,0.050704,0.223639,F,F,0,K266490
F,17.0,12/06/97,40.6,0.0,CAT 200,ASAD90,156.0,1773.600001,146.0,444.899999,8.0,34.8,404.8018,94.118266,11.369231,3.04726,4.35,310.0,2253.3,7.26871,2658.1018,0.0,High,1053.3,8.935561,94.118266,215.558806,365.558806,OK,0.137526,0.787112,0.197444,0.015444,0.179648,F,F,1,K201920
F,28.0,04/05/97,41.9,0.0,Play 100,BS110,32.0,22.266255,0.0,0.0,9.0,14.543274,10.410469,0.0,0.69582,0.0,1.615919,41.0,36.809529,0.897793,47.219998,0.0,Low,-563.190471,17.098093,0.0,4.164188,64.104188,OK,1.357564,0.604905,0.0,0.395095,0.28282,F,F,0,K244040
